name,domain,dns_status,whois_status,parking_detected,registrar_hint
collectblend,collectblend.com,likely_available,pending,False,
collectbloom,collectbloom.com,likely_available,pending,False,
collectbold,collectbold.com,likely_available,pending,False,
collectbond,collectbond.com,likely_available,pending,False,
collectbrave,collectbrave.com,likely_available,pending,False,
collectbuild,collectbuild.com,likely_available,pending,False,
collectdash,collectdash.com,likely_available,pending,False,
collectdock,collectdock.com,likely_available,pending,False,
collectdrive,collectdrive.com,likely_available,pending,False,
collectelev,collectelev.com,likely_available,pending,False,
collectflame,collectflame.com,likely_available,pending,False,
collectflour,collectflour.com,likely_available,pending,False,
collectfuel,collectfuel.com,likely_available,pending,False,
collectfuse,collectfuse.com,likely_available,pending,False,
collectglow,collectglow.com,likely_available,pending,False,
collectgrow,collectgrow.com,likely_available,pending,False,
collectjoin,collectjoin.com,likely_available,pending,False,
collectknit,collectknit.com,likely_available,pending,False,
collectlift,collectlift.com,likely_available,pending,False,
collectloop,collectloop.com,likely_available,pending,False,
collectlynk,collectlynk.com,likely_available,pending,False,
collectmeet,collectmeet.com,likely_available,pending,False,
collectmerge,collectmerge.com,likely_available,pending,False,
collectmesh,collectmesh.com,likely_available,pending,False,
collectnect,collectnect.com,likely_available,pending,False,
collectopen,collectopen.com,likely_available,pending,False,
collectpush,collectpush.com,likely_available,pending,False,
collectrally,collectrally.com,likely_available,pending,False,
collectrapid,collectrapid.com,likely_available,pending,False,
collectrise,collectrise.com,likely_available,pending,False,
collectroot,collectroot.com,likely_available,pending,False,
collectscale,collectscale.com,likely_available,pending,False,
collectsoar,collectsoar.com,likely_available,pending,False,
collectspark,collectspark.com,likely_available,pending,False,
collectsurge,collectsurge.com,likely_available,pending,False,
collecttie,collecttie.com,likely_available,pending,False,
collecttrail,collecttrail.com,likely_available,pending,False,
collecttrue,collecttrue.com,likely_available,pending,False,
collectunion,collectunion.com,likely_available,pending,False,
collectvivid,collectvivid.com,likely_available,pending,False,
collectweave,collectweave.com,likely_available,pending,False,
createlynk,createlynk.com,likely_available,available,False,
